Keyword,TNG_keyword,value,Extension,from,comment,skip,Description
DRPTAG,HIERARCH ESO PRO REC1 PIPE ID,,PRIMARY,S2D_BLAZE_A,,False,RV DRP version
EPRVTAG,,v1.1.0,PRIMARY,,,False,Version of EPRV standard applied
VOCLASS,,EPRVSTANDARDv1.1.0,PRIMARY,,,False,Version of EPRV standard applied
DRPHASH,,Null,PRIMARY,,,False,Git commit hash
INSTERA,,,PRIMARY,,,True,Tag to track permanent changes to instrument
EXTRACT,HIERARCH ESO PRO REC1 PARAM12 VALUE,,PRIMARY,S2D_BLAZE_A,,False,Type of 1D extraction
EXSNR,,,PRIMARY,,,True,Extracted signal-to-noise in the order
EXSNRW,,,PRIMARY,,,True,[Angstroms] Central wavelength of EXTSNRN
FULLCOMP,,Yes,PRIMARY,,,False,Fully compliant with the RVSTAND EPRV standard?
TELFLAG,,Pass,PRIMARY,,,False,Issues with observatory or telescope?
INSTFLAG,,Pass,PRIMARY,,,False,Issues with instrument?
DRPFLAG,,Pass,PRIMARY,,,False,Issues with pipeline? 
COLOFLAG,HIERARCH TNG QC SCIRED DRIFT FLUX_RATIO CHECK,,,,,True,Issues with color?
OBSFLAG,,Pass,PRIMARY,,,False,Observer pass/fail for exposure
SUMMFLAG,,,PRIMARY,,,True,Roll up of other flag keywords
DQLVL0,,Null,PRIMARY,,,False,Quality check bitfield of N characters
DQLVL1,,Null,PRIMARY,,,False,Quality check bitfield of N characters
DQLVL2,,Null,PRIMARY,,,False,Quality check bitfield of N characters
